100000 149997
72990 43141 78
86967 62432 20
34960 30400 40
64652 14869 1
34396 65699 74
17302 18327 35
66568 42652 26
15261 5586 17
88589 36891 52
88362 91984 20
49591 93492 96
67858 3891 20
4419 3665 62
45154 10975 3
18051 4654 7
55723 67924 87
53673 55414 77
68850 66970 64
94359 98199 76
3052 87521 68
83844 89021 90
20967 26485 47
98405 15575 71
5556 50450 95
8582 21154 79
11972 854 77
3472 53153 73
43914 19281 65
43951 58328 87
16435 38156 40
53310 5267 99
65134 67297 94
37001 11412 17
91786 14483 53
99768 36954 23
58529 85252 34
4680 13712 71
84907 77344 86
34999 35355 61
64489 37078 39
59860 66020 94
34012 22799 95
91085 79718 48
70221 89323 24
10580 28651 8
8676 58944 2
85487 41939 33
29648 91972 35
94664 46018 45
63981 7299 74
90281 70368 28
653 7935 83
80726 16405 44
44459 29008 69
87867 80011 56
43677 71099 37
14369 88691 57
92960 30123 37
93806 77932 36
30892 40176 53
8761 52136 87
93009 24477 43
69380 8831 12
2426 32162 58
16942 87675 37
87146 47591 10
64154 45680 42
16595 30758 61
16618 53637 71
60165 45843 58
32610 2997 40
95695 18218 80
58845 24960 78
60003 50795 5
34992 82219 50
63824 72936 55
84516 68690 26
47591 92531 24
23636 86441 66
43486 10425 33
96445 49473 34
16903 63808 55
67044 68952 27
46378 14301 28
55023 73691 30
12325 81735 64
36272 22949 49
28595 63772 46
94159 4518 63
35822 88579 70
95559 37239 74
10861 89754 83
57935 12758 78
66548 53225 68
33540 76623 27
64858 5169 28
62100 15596 74
4288 23517 17
52968 85468 98
51506 67762 48
9314 4394 60
5863 79277 11
60596 32882 49
44068 81680 98
68236 18694 11
33036 90099 89
59933 56864 19
38793 21911 34
38477 62642 2
32937 62358 64
10157 37184 22
7032 59098 96
22602 45624 38
54371 7478 93
25123 36486 77
8594 68061 57
24070 61251 73
32342 18221 6
42887 64105 93
62881 64516 69
98433 48183 4
32263 45170 10
32079 23869 19
22643 89571 72
12806 3986 100
16959 55318 93
65497 56041 64
31988 51692 82
72407 34507 90
91954 84856 92
14389 69977 52
99765 44250 55
53552 62204 27
6743 11470 81
11596 64017 20
77366 9654 1
95411 60182 81
43528 2080 23
48903 41195 94
33001 5593 45
46371 72174 30
71403 52430 69
76297 29426 1
48530 46286 33
74387 7411 55
12020 13566 25
62013 53711 69
53138 59271 97
8923 92193 43
35247 48654 6
99271 24629 7
13373 19632 14
21118 93716 76
77364 11577 38
37144 23425 74
95557 52710 69
7758 85815 26
51870 89602 22
38257 90838 53
16843 33266 18
39271 50560 21
77442 76738 62
58901 675 18
1272 50683 31
85519 53966 47
35289 42953 72
94842 15442 52
99963 99539 2
44243 64271 74
20598 96656 8
12945 76321 54
84555 48978 98
26801 32777 33
83150 85233 71
40216 61118 8
11141 13474 74
67467 51180 62
58083 27821 67
90876 68592 97
12440 42290 28
96729 45204 84
80893 81209 28
37484 12959 66
19415 96340 6
48924 6188 66
84590 98861 86
51997 16282 79
44196 71168 90
67278 9777 74
30265 15051 68
18505 65 15
73280 26932 57
88995 17327 78
16713 67255 57
57881 17778 11
90603 62339 10
10450 93030 43
26917 56480 2
36580 37349 51
43254 10275 13
69897 58814 71
76447 80030 38
15796 1808 59
74492 38645 20
91857 18738 65
81815 98312 58
12491 10484 96
82875 12002 13
25553 38776 53
523 62429 44
11334 36669 42
7808 40035 28
41282 15748 48
1271 22860 74
45500 47903 93
54245 91649 45
86807 69765 47
85016 58935 64
25366 45531 16
23438 41800 6
44193 8026 86
85581 29853 52
23881 28967 35
15746 91655 52
31482 81704 75
5635 79648 32
28117 2524 86
11100 71558 27
90306 98772 83
54568 619 92
74806 53165 87
13592 61242 65
42748 88732 83
12182 72873 79
21145 40143 32
8015 28003 12
5836 35986 23
73996 88952 96
44504 71671 16
72227 73277 57
23798 90887 64
29199 1529 91
86581 58637 40
55286 52317 85
74952 14086 21
69381 88748 65
79812 42734 52
768 45957 46
85198 1601 54
69629 6820 23
52786 90996 7
29619 32381 69
31013 44065 12
34425 92637 88
63447 52110 40
587 30129 29
41588 80872 42
3019 83205 58
74450 6176 75
13483 41939 2
3510 92799 25
78664 34327 79
37535 55935 68
95331 74422 17
98432 1165 59
94380 41865 28
98208 65039 99
72237 61470 96
38064 16102 65
85513 96516 61
56353 21268 8
12108 7656 84
33726 84647 37
57609 84651 27
1543 19961 45
53031 33878 77
78656 96693 16
4478 31753 27
84365 25959 91
49989 47707 17
74379 89481 64
31941 45841 84
18095 76503 41
85513 16020 69
88840 38664 28
70745 67459 39
28401 68857 43
51578 96053 51
99110 94481 87
61671 78369 70
19037 79824 82
91673 66047 15
66516 16745 20
47506 16941 3
61183 94778 79
5566 43294 7
58875 33033 75
48257 89036 73
64092 61086 6
12846 5654 15
62853 13888 56
12117 34586 95
80535 97852 70
59489 20099 29
95268 1259 6
88398 26837 47
16694 21529 9
96914 62047 24
28197 60025 74
55936 69482 49
47724 98528 18
6203 96604 76
41414 51458 59
98965 35272 60
48898 76683 71
86289 62518 48
89379 20489 11
65966 96078 66
14231 54687 72
14498 47481 35
24735 64143 25
83722 58345 84
97219 98170 77
42129 57071 92
31489 1537 100
60474 63405 41
44392 35744 99
22050 78501 21
29911 66175 63
8913 93269 45
93497 92104 71
46969 63269 79
80252 36695 40
67740 74216 32
17285 83119 8
73982 35578 27
73297 75193 18
5646 38676 87
65258 29825 88
28427 96732 26
49449 78160 92
96945 61944 51
3901 51561 51
33127 39712 63
5124 54 88
14792 7494 20
2810 30593 80
78158 9655 1
87887 88551 85
10746 32403 95
55182 727 63
86118 52760 88
97186 34120 44
12030 30356 38
61705 81240 76
94202 84413 9
15445 81320 54
55723 1435 23
38721 96562 34
61068 36205 35
75017 34664 9
29919 30487 68
53946 90538 14
71196 11904 34
64207 94256 38
1088 81151 26
82956 14235 38
89393 36224 39
69929 6740 55
52758 45266 10
54817 97906 51
70898 85793 6
95292 84286 25
35286 12816 26
90164 75950 79
6577 63015 55
33246 34142 39
8936 17785 34
94994 79927 79
36114 59336 80
16866 82149 9
49419 23618 47
6889 16743 45
49631 92458 77
5247 61683 18
9838 95875 76
52354 11345 62
56317 32397 72
49559 48605 89
49444 58514 8
8419 35690 85
7773 296 9
97806 20195 76
91874 53828 60
40903 75949 40
64172 75872 80
86674 23042 17
42107 31755 16
24940 58787 23
62038 76278 4
95517 36429 73
38267 71237 43
36260 63356 92
55652 83484 36
54259 8319 28
9456 99628 79
94787 12789 22
62894 25751 46
26044 33253 66
24120 9534 16
48041 45062 93
17753 19059 81
28076 99239 61
51311 77259 43
10674 38742 43
54899 41762 43
92033 42157 55
50824 46527 74
31196 3746 53
49911 95981 35
19241 6793 30
5569 34140 79
8503 50254 54
60186 59421 45
38362 53404 29
57657 39580 82
9750 46505 13
25496 6157 86
42992 13266 42
42879 75678 93
64934 18450 10
67333 66792 74
72643 80039 69
39682 9053 62
39440 42639 7
36196 82191 55
36748 43092 44
61964 12820 7
58572 91154 15
25408 83329 42
98491 28964 79
86880 59636 12
74961 68353 23
80488 14789 22
36200 85185 95
72369 21567 32
54239 32412 87
98135 27256 53
39797 61217 91
81091 21259 36
56833 22340 87
291 66065 59
20962 75432 35
64613 50416 27
42583 84928 26
25182 13779 23
94271 88858 37
71144 10999 53
76032 285 14
80047 481 44
21972 23015 15
47432 28352 54
55052 44115 95
84695 22859 10
34827 78279 87
50359 46892 79
96934 72272 12
46440 71528 83
23184 64944 62
29418 56398 95
54689 70983 32
28029 75144 83
41512 70890 47
83371 66850 58
78281 24148 76
50136 68686 54
22145 45396 92
42562 36362 82
28140 50565 27
65197 79385 25
40091 71068 53
86509 58102 27
64820 96396 74
10395 90911 9
3762 24186 90
54982 50293 44
40076 75173 7
87545 91157 82
93077 17417 40
4901 89966 35
16293 36426 72
97812 38736 27
84142 70421 12
18946 73614 22
58027 83575 65
31144 97393 59
21335 42666 69
50117 32385 54
66667 31875 20
64795 62449 99
29964 88429 66
64386 24521 32
35600 45656 63
61783 10746 74
94395 95344 41
98658 33168 52
19322 6843 66
87243 28789 91
55758 83263 49
24795 42856 91
54236 42449 20
44392 43397 71
73213 13053 67
97720 98329 11
82411 25390 94
70814 3167 17
54960 97812 59
68133 14383 48
45017 85864 38
35072 3616 96
70638 72903 74
37919 58142 88
77123 4410 97
52623 20891 49
87513 20245 95
55778 68071 50
30815 55036 93
69445 5615 37
99648 58058 22
45731 89914 58
62721 88716 47
34398 84357 43
48827 78578 52
87309 33590 42
12078 41603 36
70345 66080 79
37413 82789 55
49460 71301 8
39205 48452 64
60537 139 42
